Yıl,Ay No,İlçe,Dogalgaz Tüketim Miktarı (m3)
2021,2,BAĞCILAR,35113705.851
2021,3,BAĞCILAR,40203717.072
2021,4,BAĞCILAR,25839357.718
2021,5,BAĞCILAR,8933519.224
2021,6,BAĞCILAR,7917773.358
2021,7,BAĞCILAR,5804600.26
2021,8,BAĞCILAR,6210870.584
2021,9,BAĞCILAR,7188993.532
2021,10,BAĞCILAR,12745116.666
2021,11,BAĞCILAR,22102399.949
2021,12,BAĞCILAR,36372585.535
2022,1,BAĞCILAR,46150829.74
2022,2,BAĞCILAR,38753427.52
2022,3,BAĞCILAR,46859572.559
2022,4,BAĞCILAR,19035042.008
2022,5,BAĞCILAR,11199756.13
2022,6,BAĞCILAR,7578101.661
2022,7,BAĞCILAR,5922390.501
2022,8,BAĞCILAR,6832967.098
2022,9,BAĞCILAR,7560763.675
2022,10,BAĞCILAR,10317929.834
2022,11,BAĞCILAR,16793061.382
2022,12,BAĞCILAR,29955304.024
2023,1,BAĞCILAR,34275794.569
2023,2,BAĞCILAR,39121505.198
2023,3,BAĞCILAR,32597217.077
2023,4,BAĞCILAR,19910850.195
2015,1,BAHÇELİEVLER,39177721.195
2015,2,BAHÇELİEVLER,33919141.916
2015,3,BAHÇELİEVLER,32136821.611
2015,4,BAHÇELİEVLER,20374962.454
2015,5,BAHÇELİEVLER,8002269.887
2015,6,BAHÇELİEVLER,6499298.33
2015,7,BAHÇELİEVLER,5435348.859
2015,8,BAHÇELİEVLER,5237368.194
2015,9,BAHÇELİEVLER,5835273.726
2015,10,BAHÇELİEVLER,9922287.058
2015,11,BAHÇELİEVLER,16199579.312
2015,12,BAHÇELİEVLER,32344543.704
2016,1,BAHÇELİEVLER,40543298.262
2016,2,BAHÇELİEVLER,27994690.385
2016,3,BAHÇELİEVLER,25690181.926
2016,4,BAHÇELİEVLER,10815540.512
2016,5,BAHÇELİEVLER,8641257.149
2016,6,BAHÇELİEVLER,6326989.741
2016,7,BAHÇELİEVLER,4701567.222
2016,8,BAHÇELİEVLER,5143092.754
2016,9,BAHÇELİEVLER,5395888.226
2016,10,BAHÇELİEVLER,10478063.676
2016,11,BAHÇELİEVLER,22979774.403
2016,12,BAHÇELİEVLER,41251092.083
2017,1,BAHÇELİEVLER,48302244.213
2017,2,BAHÇELİEVLER,36754279.226
2017,3,BAHÇELİEVLER,29520091.365
